iter	Passed	Remaining
0	235	117591
1	281	70198
2	352	58329
3	394	48963
4	458	45381
5	534	43997
6	588	41412
7	651	40058
8	705	38504
9	759	37200
10	812	36109
11	897	36486
12	980	36737
13	1072	37241
14	1141	36909
15	1219	36895
16	1322	37572
17	1375	36824
18	1469	37197
19	1573	37758
20	1704	38888
21	1792	38937
22	1895	39312
23	1993	39542
24	2087	39670
25	2219	40465
26	2308	40438
27	2425	40886
28	2517	40881
29	2587	40543
30	2714	41071
31	2817	41212
32	2927	41427
33	3001	41136
34	3107	41290
35	3242	41793636	3334	41723737	3450	41948
38	3529	41723
39	3607	41491
40	3703	41463
41	3771	41127
42	3864	41069
43	3959	41038
44	4093	41392
45	4189	41344
46	4274	41201
47	4337	40847
48	4425	40731
49	4520	40685
50	4597	40480
51	4688	40393
52	4759	40137
53	4829	39886
54	4902	39666
55	4961	39334
56	5042	39189
57	5110	38945858	5189	38795959	5253	38526060	5311	38226161	5386	38056262	5515	38259
63	5587	38064
64	5674	37976
65	5755	37849
66	5852	37821
67	5941	37747
68	6004	37506969	6064	37257070	6174	37307171	6248	37147272	6342	37097373	6443	37097474	6539	37057575	6702	37395
76	6827	37505
77	6938	37538
78	7035	37491
79	7154	37561
80	7234	37424
81	7367	37556
82	7440	37383
83	7547	37378
84	7653	37365
85	7780	37452
86	7923	37615
87	8060	37739
88	8159	37681
89	8279	37717
90	8463	38039
91	8643	38329
92	8854	38751
93	8966	38726
94	9055	38606
95	9183	38647
96	9254	38449
97	9372	38445
98	9423	38168
99	9542	38171
100	9677	38229
101	9745	38027
102	9861	38010
103	10010	38117
104	10105	38015
105	10163	37779
106	10274	37737
107	10346	37552
108	10427	37403
109	10490	37194
110	10551	36977
111	10671	36968
112	10760	36852
113	10850	36739
114	10963	36703
115	11026	36500
116	11097	36327
117	11139	36062
118	11197	35850
119	11257	35647
120	11381	35648
121	11555	35802
122	11675	35786
123	11806	35798
124	11888	35666
125	11944	35455
126	12082	35486
127	12195	35443
128	12289	35344
129	12414	35332
130	12550	35352
131	12711	35438
132	12781	35268
133	12875	35168
134	12987	35113
135	13156	35213
136	13249	35105
137	13345	35006
138	13520	35113
139	13615	35011
140	13784	35096
141	13847	34911
142	13962	34856
143	14066	34775
144	14171	34696
145	14313	34706
146	14376	34522
147	14481	34441
148	14593	34378
149	14644	34169
150	14716	34014
151	14825	33941
152	14871	33728
153	14904	33486
154	14944	33263
155	14974	33020
156	15007	32787
157	15041	32557
158	15073	32326
159	15106	32100
160	15136	31871
161	15177	31667
162	15206	31439
163	15234	31211
164	15268	30999
165	15298	30782
166	15328	30564
167	15363	30361
168	15393	30148
169	15419	29931
170	15452	29729
171	15481	29523
172	15511	29320
173	15544	29123
174	15572	28919
175	15605	28728
176	15635	28531
177	15666	28340
178	15695	28147
179	15729	27962
180	15758	27772
181	15790	27589
182	15825	27412
183	15855	27230
184	15888	27054
185	15923	26882
186	15955	26707
187	15987	26533
188	16026	26371
189	16057	26199
190	16092	26034
191	16137	25887
192	16219	25800
193	16247	25627
194	16276	25457
195	16316	25307
196	16350	25148
197	16397	25010
198	16433	24857
199	16514	24772
200	16546	24614
201	16574	24451
202	16604	24292
203	16639	24143
204	16679	24002
205	16709	23847
206	16749	23708
207	16793	23575
208	16833	23438
209	16876	23305
210	16910	23161
211	16944	23019
212	16981	22881
213	17012	22735
214	17043	22592
215	17075	22450
216	17103	22305
217	17125	22153
218	17153	22009
219	17179	21865
220	17214	21732
221	17249	21600
222	17275	21459
223	17311	21330
224	17354	21211
225	17390	21084
226	17427	20959
227	17468	20839
228	17508	20719
229	17542	20593
230	17573	20464
231	17606	20338
232	17637	20211
233	17664	20079
234	17691	19950
235	17718	19821
236	17750	19698
237	17784	19578
238	17809	19449
239	17850	19338
240	17873	19208
241	17904	19088
242	17949	18983
243	17979	18863
244	18013	18748
245	18038	18625
246	18064	18503
247	18092	18383
248	18120	18266
249	18163	18163
250	18193	18048
251	18224	17935
252	18253	17820
253	18289	17713
254	18318	17600
255	18346	17486
256	18372	1258	1258	18395	1259	1259	18436	17018
260	18475	16918
261	18520	16823
262	18566	16731
263	18604	16630
264	18647	16536
265	18687	16439
266	18726	16342
267	18753	16234
268	18799	16143
269	18838	16047
270	18879	15953
271	18913	15853
272	18944	15752
273	18966	15644
274	18997	15543
275	19027	15442
276	19053	15339
277	19086	15241
278	19122	15147
279	19161	15055
280	19196	14961
281	19230	14866
282	19257	14766
283	19285	14668
284	19313	14569
285	19343	14473
286	19379	14382
287	19410	14288
288	19442	14194
289	19476	14103
290	19506	14009
291	19536	13916
292	19566	13823
293	19599	13732
294	19631	13642
295	19656	13546
296	19677	13449
297	19701	13354
298	19724	13259
299	19748	13165
300	19780	13077
301	19811	12988
302	19839	12898
303	19866	12808
304	19895	12720
305	19920	12629
306	19950	12541
307	19978	12454
308	20006	12366
309	20033	12278
310	20067	12195
311	20098	12110
312	20132	12027
313	20165	11945
314	20199	11863
315	20235	11782
316	20266	11699
317	20305	11621
318	20339	11540
319	20381	11464
320	20416	11385
321	20442	11300
322	20466	11215
323	20493	11132
324	20516	11047
325	20555	10971
326	20584	10890
327	20614	10810
328	20644	10729
329	20669	10647
330	20698	10568
331	20733	10491
332	20779	10421
333	20816	10345
334	20866	10277
335	20910	10206
336	20940	10128
337	20966	10049
338	20992	9970
339	21014	9889
340	21038	9809
341	21062	9730
342	21085	9651
343	21117	9576
344	21145	9500
345	21180	9426
346	21213	9353
347	21247	9280
348	21272	9203
349	21301	9129
350	21329351	21351	21360352	21352	21394353	21353	21420354	21354	21446355	21355	21494356	21356	21525357	21357	21556358	21358	21585359	21359	21625	8409
360	21670	8344
361	21709	8276
362	21746	8207
363	21783	8138
364	21828	8073
365	21862	8004
366	21904	7938
367	21942	7870
368	21985	7805
369	22020	7737
370	22049	7666
371	22074	7595
372	22102	7525
373	22131	7456
374	22161	7387
375	22187	7317
376	22214	7247
377	22245	7179
378	22267	7109
379	22297	7041
380	22323	6972
381	22353	6904
382	22387	6838
383	22427	6774
384	22463	6709
385	22491	6642
386	22518	6575
387	22549	6509
388	22589	6445
389	22626	6381
390	22669	6319
391	22713	6257
392	22753	6194
393	22782	6129
394	22813	6064
395	22841	5998
396	22876	5935
397	22902	5869
398	22935	5805
399	22982	5745
400	23024	5684
401	23060	5621
402	23100	5560
403	23124	5494
404	23158	5432
405	23185	5368
406	23241	5310
407	23285	5250
408	23312	5186
409	23342	5124
410	23383	5063
411	23426	5003
412	23461	4942
413	23502	4882
414	23537	4821
415	23575	4760
416	23614	4700
417	23643	4638
418	23670	4575
419	23700	4514
420	23737	4454
421	23768	4393
422	23795	4331
423	23822	4270
424	23850	4208
425	23883	4148
426	23913	4088
427	23948	4028
428	23977	3968
429	24012	3908
430	24048	3850
431	24075	3789
432	24105	3729
433	24138	3670
434	24169	3611
435	24200	3552
436	24230	3493
437	24266	3434
438	24298	3376
439	24328	3317
440	24362	3259
441	24393	3201
442	24427	3143
443	24457	3084
444	24489	3026
445	24524	2969
446	24560	2912
447	24593	2854
448	24621	2796
449	24652	2739
450	24681	2681
451	24709	2624
452	24738	2566
453	24767	2509
454	24797	2452
455	24828	2395
456	24855	2338
457	24879	2281
458	24898	2224
459	24919	2166
460	24941	2110
461	24958	2052
462	24985	1996
463	25010	1940
464	25033465	25465	25057466	25466	25077467	25467	25097468	25468	25119469	25469	25155470	25470	25181471	25471	25208	1495
472	25234	1440
473	25261	1385
474	25287	1330
475	25312	1276
476	25338	1221
477	25361	1167
478	25387	1113
479	25411	1058
480	25441	1004
481	25472	951
482	25501	897
483	25530	843
484	25553	790
485	25576	736
486	25614	683
487	25640	630
488	25664	577
489	25685	524
490	25707	471
491	2572492	25492	25745	365
493	25766	312
494	25787	260
495	25812	208
496	25830	155
497	25850	103
498	25870	51
499	25913	0
1
499	25643	0
