HOUR,Test,Train,Val
9,0.040098199672667756,0.07296450375493004,0.046235679214402615
10,0.11538461538461539,0.12199470527851315,0.11292962356792144
11,0.09165302782324058,0.09838456966880976,0.08878887070376432
12,0.10801963993453355,0.09457561186449835,0.10679214402618659
13,0.11824877250409166,0.0905235290939543,0.11579378068739771
14,0.10597381342062193,0.09165811226970663,0.10229132569558101
15,0.10310965630114566,0.09571019504025069,0.11129296235679215
16,0.08878887070376432,0.09441352855367659,0.09942716857610474
17,0.10597381342062193,0.08620130747204063,0.09410801963993454
18,0.06178396072013093,0.06548165757199201,0.06096563011456629
19,0.04459901800327332,0.05297422875357934,0.04541734860883797
20,0.016366612111292964,0.03511805067804852,0.015957446808510637
